========================================================================================================================
PURE PYTHON VS. PANDAS NUMERIC COMPARISON
========================================================================================================================
Column                                                       Metric       Pure Python            Pandas     Match
------------------------------------------------------------------------------------------------------------------------
illuminating_cta_subtype_engagement                           count            246745            246745       YES
illuminating_cta_subtype_engagement                            mean      0.1248698049      0.1248698049       YES
illuminating_cta_subtype_engagement                         minimum      0.0000000000      0.0000000000       YES
illuminating_cta_subtype_engagement                         maximum      1.0000000000      1.0000000000       YES
illuminating_cta_subtype_engagement              standard_deviation      0.3305718977      0.3305718977       YES
illuminating_cta_subtype_engagement                          median      0.0000000000      0.0000000000       YES
illuminating_cta_subtype_fundraising                          count            246745            246745       YES
illuminating_cta_subtype_fundraising                           mean      0.2284868994      0.2284868994       YES
illuminating_cta_subtype_fundraising                        minimum      0.0000000000      0.0000000000       YES
illuminating_cta_subtype_fundraising                        maximum      1.0000000000      1.0000000000       YES
illuminating_cta_subtype_fundraising             standard_deviation      0.4198587270      0.4198587270       YES
illuminating_cta_subtype_fundraising                         median      0.0000000000      0.0000000000       YES
illuminating_cta_subtype_voting                               count            246745            246745       YES
illuminating_cta_subtype_voting                                mean      0.1438448601      0.1438448601       YES
illuminating_cta_subtype_voting                             minimum      0.0000000000      0.0000000000       YES
illuminating_cta_subtype_voting                             maximum      1.0000000000      1.0000000000       YES
illuminating_cta_subtype_voting                  standard_deviation      0.3509330640      0.3509330640       YES
illuminating_cta_subtype_voting                              median      0.0000000000      0.0000000000       YES
illuminating_election_integrity_Truth                         count            246745            246745       YES
illuminating_election_integrity_Truth                          mean      0.0500881477      0.0500881477       YES
illuminating_election_integrity_Truth                       minimum      0.0000000000      0.0000000000       YES
illuminating_election_integrity_Truth                       maximum      1.0000000000      1.0000000000       YES
illuminating_election_integrity_Truth            standard_deviation      0.2181272976      0.2181272976       YES
illuminating_election_integrity_Truth                        median      0.0000000000      0.0000000000       YES
illuminating_incivility                                       count            246745            246745       YES
illuminating_incivility                                        mean      0.1875255831      0.1875255831       YES
illuminating_incivility                                     minimum      0.0000000000      0.0000000000       YES
illuminating_incivility                                     maximum      1.0000000000      1.0000000000       YES
illuminating_incivility                          standard_deviation      0.3903336474      0.3903336474       YES
illuminating_incivility                                      median      0.0000000000      0.0000000000       YES
illuminating_msg_type_advocacy                                count            246745            246745       YES
illuminating_msg_type_advocacy                                 mean      0.5486311779      0.5486311779       YES
illuminating_msg_type_advocacy                              minimum      0.0000000000      0.0000000000       YES
illuminating_msg_type_advocacy                              maximum      1.0000000000      1.0000000000       YES
illuminating_msg_type_advocacy                   standard_deviation      0.4976303971      0.4976303971       YES
illuminating_msg_type_advocacy                               median      1.0000000000      1.0000000000       YES
illuminating_msg_type_attack                                  count            246745            246745       YES
illuminating_msg_type_attack                                   mean      0.2718555594      0.2718555594       YES
illuminating_msg_type_attack                                minimum      0.0000000000      0.0000000000       YES
illuminating_msg_type_attack                                maximum      1.0000000000      1.0000000000       YES
illuminating_msg_type_attack                     standard_deviation      0.4449167523      0.4449167523       YES
illuminating_msg_type_attack                                 median      0.0000000000      0.0000000000       YES
illuminating_msg_type_cta                                     count            246745            246745       YES
illuminating_msg_type_cta                                      mean      0.5727694583      0.5727694583       YES
illuminating_msg_type_cta                                   minimum      0.0000000000      0.0000000000       YES
illuminating_msg_type_cta                                   maximum      1.0000000000      1.0000000000       YES
illuminating_msg_type_cta                        standard_deviation      0.4946772662      0.4946772662       YES
illuminating_msg_type_cta                                    median      1.0000000000      1.0000000000       YES
illuminating_msg_type_image                                   count            246745            246745       YES
illuminating_msg_type_image                                    mean      0.2227036009      0.2227036009       YES
illuminating_msg_type_image                                 minimum      0.0000000000      0.0000000000       YES
illuminating_msg_type_image                                 maximum      1.0000000000      1.0000000000       YES
illuminating_msg_type_image                      standard_deviation      0.4160617846      0.4160617846       YES
illuminating_msg_type_image                                  median      0.0000000000      0.0000000000       YES
illuminating_msg_type_issue                                   count            246745            246745       YES
illuminating_msg_type_issue                                    mean      0.3816490709      0.3816490709       YES
illuminating_msg_type_issue                                 minimum      0.0000000000      0.0000000000       YES
illuminating_msg_type_issue                                 maximum      1.0000000000      1.0000000000       YES
